ActualRel ActualDeg KINGDeg IBD1 IBD2 ERSADeg ERSARel PONDDeg
HV 3 3 0.2141 0.0 4 NA 4 
HC 4 4 0.0891 0.0 UN NA 4 
HC 4 UN 0.0861 0.0 UN NA 4 
HC 4 4 0.1696 0.0 4 NA 4 
HC 4 3 0.197 0.0 4 NA 4 
HV 3 3 0.2377 0.0 3 CO 4 
HV 3 3 0.1918 0.0058 4 NA 4 
HV 3 3 0.3319 0.0078 3 CO 3 
HV 3 3 0.3251 0.0032 3 CO 3 
MHS 2 2 0.5107 0.0058 2 HS 2 
HV 3 3 0.2927 0.0011 3 CO 3 
HV 3 3 0.1723 0.004 4 NA 4 
HV 3 3 0.3211 0.0134 3 CO 3 
HV 3 3 0.2884 0.0 3 CO 3 
MHS 2 2 0.6371 0.0078 2 HS 2 
HV 3 3 0.2911 0.0021 3 CO 3 
HV 3 3 0.2625 0.0016 3 CO 3 
HV 3 2 0.4356 0.0078 3 CO 2 
HV 3 2 0.3725 0.0065 3 CO 3 
PO PO PO 0.9871 0.0123 PO PO PO 
PO PO PO 0.9818 0.0167 PO PO PO 
PO PO PO 0.9827 0.0173 PO PO PO 
FS FS FS 0.5931 0.1781 FS FS FS 
PHS 2 2 0.549 0.0119 2 HS 2 
PHS 2 2 0.4255 0.0025 2 HS 2 
PO PO PO 0.9888 0.0102 PO PO PO 
GP 2 2 0.4936 0.0062 2 HS 2 
GP 2 2 0.4855 0.0049 2 HS 2 
GP 2 2 0.5396 0.0079 2 HS 2 
GP 2 2 0.4647 0.0045 2 HS 2 
PO PO PO 0.9802 0.0161 ERSAdeg ERSArel PO 
PO PO PO 0.9827 0.0138 PO PO PO 
GP 2 2 0.5451 0.0105 2 HS 2 
GP 2 2 0.5558 0.0122 2 HS 2 
GP 2 2 0.5359 0.0055 2 HS 2 
GP 2 2 0.44 0.0031 3 CO 2 
PO PO PO 0.9826 0.016 PO PO PO 
GP 2 2 0.5385 0.006 2 HS 2 
GP 2 2 0.5456 0.0119 2 HS 2 
PO PO PO 0.9759 0.0226 ERSAdeg ERSArel PO 
GP 2 2 0.5023 0.0044 2 HS 2 
GP 2 2 0.5707 0.0051 2 HS 2 
GP 2 2 0.3913 0.0078 3 CO 3 
GP 2 2 0.472 0.0058 2 HS 2 
PO PO PO 0.9816 0.0182 PO PO PO 
GP 2 2 0.4705 0.0223 2 HS 2 
GP 2 2 0.6065 0.0308 2 AV 2 
PO PO PO 0.9826 0.0165 PO PO PO 
PO PO PO 0.9267 0.0719 PO PO PO 
MHS 2 2 0.4993 0.0089 2 HS 2 
HV 3 3 0.2612 0.0 3 CO 3 
HV 3 3 0.2698 0.0 3 CO 3 
HV 3 3 0.2995 0.0058 3 CO 3 
HV 3 3 0.2545 0.0059 3 CO 3 
MHS 2 2 0.5718 0.0077 2 HS 2 
HV 3 3 0.3379 0.0027 3 CO 3 
HC 4 3 0.2424 0.0 3 CO 4 
HC 4 3 0.2153 0.005 3 CO 4 
HC 4 3 0.2047 0.0016 4 NA 4 
HC 4 3 0.1936 0.0 4 NA 4 
HV 3 3 0.2892 0.0 3 CO 3 
HC 4 3 0.2146 0.0036 4 NA 4 
HC 4 3 0.1724 0.0074 4 NA 4 
HC 4 4 0.1733 0.0 4 NA 4 
HC 4 4 0.1691 0.0012 4 NA 4 
HV 3 2 0.3479 0.0031 3 CO 3 
HC 4 3 0.2435 0.0046 3 CO 3 
HC 4 3 0.1976 0.0045 4 NA 4 
HC 4 3 0.2282 0.0013 3 CO 4 
HC 4 3 0.2206 0.0011 4 NA 4 
HV 3 3 0.2707 0.0111 3 CO 3 
HC 4 3 0.192 0.0018 4 NA 4 
HC 4 3 0.198 0.0011 4 NA 4 
HC 4 3 0.1794 0.0068 4 NA 4 
HC 4 4 0.1622 0.0035 4 NA 4 
HV 3 2 0.3862 0.0067 3 CO 3 
HV 3 2 0.3415 0.0083 3 CO 3 
HV 3 3 0.333 0.0027 3 CO 3 
HV 3 3 0.2738 0.0061 3 CO 3 
MHS 2 2 0.5312 0.0079 2 HS 2 
HV 3 3 0.2745 0.0051 3 CO 3 
HC 4 3 0.1874 0.0042 4 NA 4 
HC 4 3 0.2136 0.0047 3 CO 4 
HV 3 3 0.278 0.0 3 CO 3 
HC 4 3 0.2327 0.003 3 CO 4 
HC 4 3 0.1863 0.0102 4 NA 4 
HV 3 3 0.341 0.0052 3 CO 3 
HC 4 3 0.2127 0.0044 3 CO 4 
HC 4 3 0.2434 0.0044 3 CO 3 
HV 3 3 0.2883 0.0054 3 CO 3 
HC 4 3 0.2161 0.0044 3 CO 4 
HC 4 3 0.221 0.0044 4 NA 4 
HV 3 3 0.3255 0.0032 3 CO 3 
HV 3 2 0.3493 0.0097 3 CO 3 
MHS 2 2 0.4663 0.0031 3 CO 2 
HV 3 3 0.2568 0.0017 3 CO 3 
HC 4 3 0.2776 0.0089 3 CO 3 
HC 4 3 0.1974 0.0025 4 NA 4 
HC 4 4 0.144 0.0027 4 NA 4 
HC 4 4 0.1383 0.0012 4 NA 4 
HV 3 3 0.2622 0.0015 3 CO 3 
HC 4 3 0.2745 0.0025 3 CO 3 
HC 4 4 0.1653 0.0016 4 NA 4 
HC 4 4 0.1371 0.0011 4 NA 4 
HC 4 4 0.1567 0.0 4 NA 4 
HV 3 3 0.3034 0.0 3 CO 3 
HC 4 3 0.2615 0.0056 3 CO 3 
HC 4 3 0.2169 0.0 4 NA 4 
HC 4 3 0.1807 0.0064 4 NA 4 
HC 4 3 0.1864 0.0017 4 NA 4 
HV 3 3 0.2189 0.0 3 CO 4 
HC 4 3 0.2787 0.0 3 CO 3 
HC 4 4 0.1551 0.0 4 NA 4 
HC 4 4 0.1497 0.005 4 NA 4 
HC 4 4 0.1608 0.0 4 NA 4 
HV 3 2 0.3971 0.0476 3 CO 3 
HV 3 3 0.3016 0.0031 3 CO 3 
HV 3 3 0.2431 0.0 3 CO 4 
HV 3 3 0.2508 0.0 3 CO 3 
FS FS FS 0.5721 0.2244 FS FS FS 
AV 2 2 0.5279 0.0 3 CO 2 
CO 3 3 0.2938 0.0055 3 CO 3 
CO 3 3 0.2954 0.0078 3 CO 3 
AV 2 2 0.5378 0.0078 3 CO 2 
CO 3 3 0.2733 0.006 3 CO 3 
CO 3 3 0.2189 0.0105 3 CO 4 
AV 2 2 0.5631 0.0185 2 HS 2 
CO 3 3 0.3458 0.0029 3 CO 3 
CO 3 3 0.3021 0.0089 3 CO 3 
AV 2 2 0.5245 0.0184 2 HS 2 
CO 3 3 0.3342 0.0056 3 CO 3 
CO 3 3 0.3015 0.0062 3 CO 3 
AV 2 2 0.5616 0.0108 2 HS 2 
AV 2 2 0.508 0.0062 3 CO 2 
MHS 2 2 0.5046 0.0064 2 HS 2 
HV 3 3 0.2642 0.0044 3 CO 3 
HV 3 3 0.2481 0.006 3 CO 3 
HV 3 3 0.3178 0.0019 3 CO 3 
HV 3 3 0.2425 0.0017 3 CO 4 
MHS 2 2 0.556 0.0104 2 HS 2 
HV 3 3 0.2977 0.0042 3 CO 3 
HV 3 3 0.2936 0.0023 3 CO 3 
HV 3 3 0.3082 0.0062 3 CO 3 
HV 3 3 0.2686 0.0066 3 CO 3 
MHS 2 FS 0.5002 0.1069 2 HS 2 
HV 3 2 0.429 0.0048 3 CO 2 
HV 3 2 0.4044 0.0078 3 CO 3 
HV 3 2 0.4705 0.016 3 CO 2 
HV 3 2 0.3501 0.0101 3 CO 3 
FS FS FS 0.4437 0.3264 FS FS FS 
AV 2 2 0.5317 0.0055 3 CO 2 
AV 2 2 0.5408 0.0079 3 CO 2 
MHS 2 2 0.5352 0.0058 3 CO 2 
HV 3 3 0.3002 0.0054 3 CO 3 
HV 3 3 0.3334 0.005 3 CO 3 
HV 3 3 0.2758 0.0015 3 CO 3 
HV 3 3 0.3133 0.0013 3 CO 3 
MHS 2 2 0.5179 0.0035 3 CO 2 
HV 3 3 0.2624 0.0024 3 CO 3 
HV 3 2 0.3651 0.0099 3 CO 3 
FS FS FS 0.5046 0.3095 FS FS FS 
MHS 2 2 0.57 0.0086 3 CO 2 
MHS 2 FS 0.5037 0.122 2 HS 2 
HV 3 2 0.3804 0.0012 3 CO 3 
HC 4 3 0.2256 0.0 3 CO 4 
HC 4 3 0.2427 0.0012 4 NA 4 
HV 3 2 0.4352 0.0078 3 CO 2 
HC 4 3 0.2684 0.0065 3 CO 3 
HC 4 3 0.2649 0.0039 3 CO 3 
AV 2 2 0.4969 0.0328 3 CO 2 
HC 4 3 0.3312 0.0058 3 CO 3 
HC 4 3 0.3434 0.0032 3 CO 3 
HV 3 3 0.3182 0.0095 3 CO 3 
HC 4 3 0.2204 0.0019 3 CO 4 
HC 4 3 0.2345 0.0 4 NA 4 
HV 3 2 0.4179 0.005 3 CO 3 
HV 3 2 0.3824 0.0107 3 CO 3 
MHS 2 2 0.5774 0.002 2 HS 2 
HV 3 2 0.3463 0.0054 3 CO 3 
HC 4 2 0.3521 0.0214 3 CO 3 
HC 4 3 0.2335 0.0013 4 NA 4 
HC 4 3 0.3065 0.005 3 CO 3 
HC 4 3 0.2228 0.01 3 CO 4 
HV 3 3 0.294 0.0048 3 CO 3 
HC 4 3 0.2135 0.0032 3 CO 4 
HC 4 3 0.1887 0.0038 4 NA 4 
HC 4 4 0.1677 0.0039 4 NA 4 
HC 4 3 0.2115 0.0 3 CO 4 
HV 3 3 0.3104 0.0041 3 CO 3 
HC 4 3 0.1954 0.0011 4 NA 4 
HC 4 3 0.1889 0.0018 4 NA 4 
HC 4 4 0.1593 0.0 4 NA 4 
HC 4 4 0.1752 0.0 4 NA 4 
HV 3 3 0.2402 0.01 3 CO 3 
HC 4 4 0.1603 0.0 4 NA 4 
HC 4 3 0.2005 0.0013 4 NA 4 
HC 4 4 0.1348 0.0 4 NA 4 
HC 4 4 0.1639 0.0 4 NA 4 
HV 3 2 0.3495 0.0036 3 CO 3 
HV 3 2 0.3786 0.0054 3 CO 3 
HV 3 3 0.2582 0.0011 3 CO 3 
HV 3 3 0.2776 0.0 3 CO 3 
MHS 2 2 0.5268 0.0037 3 CO 2 
HV 3 3 0.3048 0.0188 3 CO 3 
HC 4 4 0.1567 0.0011 4 NA 4 
HC 4 3 0.2221 0.0026 4 NA 4 
HV 3 3 0.2882 0.0113 3 CO 3 
HC 4 3 0.1822 0.0035 4 NA 4 
HC 4 3 0.2204 0.0031 4 NA 4 
HV 3 3 0.3158 0.0011 3 CO 3 
HC 4 3 0.1756 0.0033 4 NA 4 
HC 4 3 0.2185 0.0021 3 CO 4 
HV 3 3 0.2644 0.001 3 CO 3 
HC 4 4 0.1508 0.0033 4 NA 4 
HC 4 3 0.2181 0.0052 4 NA 4 
HV 3 3 0.2653 0.0031 3 CO 3 
HV 3 3 0.339 0.0014 3 CO 3 
MHS 2 2 0.4369 0.11 2 HS 2 
HV 3 2 0.3961 0.0014 3 CO 3 
HV 3 2 0.3579 0.0041 3 CO 3 
HV 3 2 0.3984 0.0191 3 CO 3 
HV 3 2 0.3433 0.0118 3 CO 3 
MHS 2 2 0.4751 0.0076 3 CO 2 
HV 3 3 0.309 0.0012 3 CO 3 
HV 3 3 0.2757 0.0 3 CO 3 
HV 3 3 0.2502 0.0031 3 CO 3 
HV 3 3 0.2014 0.0 3 CO 4 
MHS 2 2 0.5199 0.0074 3 CO 2 
HV 3 3 0.2966 0.0026 3 CO 3 
HC 4 3 0.2288 0.0015 3 CO 4 
HC 4 3 0.2012 0.0059 4 NA 4 
HC 4 4 0.1763 0.0 4 NA 4 
HC 4 3 0.1781 0.0 4 NA 4 
HV 3 3 0.293 0.0032 3 CO 3 
HC 4 3 0.2167 0.0 3 CO 4 
HC 4 3 0.2187 0.0 4 NA 4 
HC 4 4 0.1612 0.0014 4 NA 4 
HC 4 3 0.1869 0.0012 4 NA 4 
HV 3 3 0.297 0.0103 3 CO 3 
HV 3 3 0.3258 0.0063 3 CO 3 
HV 3 3 0.2803 0.0017 3 CO 3 
HV 3 3 0.2704 0.0118 3 CO 3 
MHS 2 2 0.4941 0.0074 3 CO 2 
HV 3 3 0.2822 0.0031 3 CO 3 
HC 4 3 0.1807 0.0016 4 NA 4 
HC 4 3 0.1978 0.0011 4 NA 4 
HV 3 3 0.3312 0.0107 3 CO 3 
HC 4 3 0.2333 0.0 3 CO 4 
HC 4 3 0.2669 0.0079 3 CO 3 
HV 3 3 0.2823 0.0046 3 CO 3 
HV 3 2 0.3504 0.0068 3 CO 3 
FS FS FS 0.5284 0.2652 FS FS FS 
AV 2 2 0.5521 0.0055 3 CO 2 
AV 2 2 0.556 0.0101 2 HS 2 
MHS 2 2 0.5497 0.0059 3 CO 2 
HV 3 3 0.3097 0.0016 3 CO 3 
HV 3 3 0.3051 0.0041 3 CO 3 
MHS 2 2 0.6093 0.0082 2 HS 2 
AV 2 2 0.4574 0.0737 2 HS 2 
HC 4 3 0.3141 0.0085 3 CO 3 
HC 4 3 0.3207 0.0064 3 CO 3 
HV 3 2 0.3823 0.0031 3 CO 3 
HC 4 3 0.1814 0.0022 4 NA 4 
HC 4 3 0.2397 0.0033 3 CO 4 
HV 3 3 0.2864 0.0026 3 CO 3 
HC 4 3 0.245 0.001 3 CO 3 
HC 4 3 0.2042 0.0 4 NA 4 
HV 3 3 0.3276 0.0015 3 CO 3 
HC 4 3 0.2265 0.0145 3 CO 4 
HC 4 3 0.2533 0.0124 3 CO 3 
HV 3 3 0.3176 0.005 3 CO 3 
HV 3 2 0.3787 0.019 3 CO 3 
MHS 2 2 0.5093 0.0081 3 CO 2 
HV 3 3 0.2642 0.0027 3 CO 3 
HV 3 3 0.3098 0.0064 3 CO 3 
HV 3 3 0.2449 0.0034 3 CO 3 
HV 3 3 0.238 0.0084 3 CO 4 
MHS 2 2 0.4744 0.0058 3 CO 2 
HV 3 3 0.2474 0.0 4 NA 3 
HV 3 3 0.3131 0.0049 3 CO 3 
MHS 2 2 0.5763 0.0071 2 HS 2 
HV 3 3 0.2659 0.0071 3 CO 3 
HV 3 2 0.3597 0.0113 3 CO 3 
MHS 2 2 0.595 0.0041 2 HS 2 
PO PO PO 0.9817 0.0146 PO PO PO 
PO PO PO 0.9725 0.0249 PO PO PO 
PO PO PO 0.9685 0.0311 PO PO PO 
PO PO PO 0.9614 0.0344 PO PO PO 
