ID ERSAdeg ERSArel
01143054 UN NA 
01143055 UN NA 
01143050 UN NA 
01650487 UN NA 
01143058 UN NA 
01070820 UN NA 
29950929 UN NA 
07180834 UN NA 
01283019 UN NA 
01283018 UN NA 
05510970 UN NA 
29490989 UN NA 
05510972 UN NA 
01283013 UN NA 
01283012 3rd HV 
01283011 UN NA 
01283010 UN NA 
05510978 UN NA 
01283016 UN NA 
01283015 UN NA 
01283014 UN NA 
29000686 UN NA 
21590357 UN NA 
30200466 UN NA 
30435153 UN NA 
30105238 UN NA 
21590350 UN NA 
30080364 UN NA 
30080362 UN NA 
30080360 UN NA 
30080361 UN NA 
01190750 UN NA 
01190751 UN NA 
01190752 UN NA 
22390679 UN NA 
21590359 UN NA 
22382981 UN NA 
00350172 UN NA 
30470989 UN NA 
30470988 UN NA 
30470981 UN NA 
30470986 UN NA 
30470984 UN NA 
22382980 UN NA 
10303048 UN NA 
10303049 UN NA 
10303046 UN NA 
10303047 UN NA 
10303044 UN NA 
10303045 UN NA 
10303042 UN NA 
10303043 UN NA 
10303040 UN NA 
10303041 UN NA 
01475093 UN NA 
29250614 UN NA 
29250610 UN NA 
00372298 UN NA 
00372297 UN NA 
00372296 UN NA 
00372295 UN NA 
00372294 UN NA 
00372293 UN NA 
00372292 UN NA 
00372291 UN NA 
00372290 UN NA 
30220775 3rd CO 
22790514 UN NA 
22325153 UN NA 
10740321 UN NA 
10740320 UN NA 
10740328 UN NA 
23003128 UN NA 
30220770 UN NA 
22860865 UN NA 
29020508 UN NA 
23003129 UN NA 
22270518 UN NA 
10702232 UN NA 
10702233 UN NA 
29020500 UN NA 
29020506 UN NA 
22860869 4th NA 
22270513 UN NA 
10702235 UN NA 
31250318 UN NA 
31250315 UN NA 
30220779 4th NA 
31250317 UN NA 
31250316 UN NA 
31250313 UN NA 
28040999 UN NA 
28040992 UN NA 
28040993 UN NA 
28040995 UN NA 
28040997 UN NA 
30720614 UN NA 
30720612 UN NA 
30720610 UN NA 
29243099 UN NA 
00760396 UN NA 
00950679 UN NA 
30463054 UN NA 
30463055 3rd CO 
30463056 UN NA 
30463057 UN NA 
30463050 PO PO 
21842300 UN NA 
30463058 UN NA 
00760391 UN NA 
03210528 UN NA 
03210520 UN NA 
03210521 UN NA 
01320476 UN NA 
11930466 UN NA 
11930467 UN NA 
03010410 UN NA 
03010411 UN NA 
03010412 UN NA 
03120718 UN NA 
05340739 UN NA 
03010419 UN NA 
01653028 UN NA 
01120794 UN NA 
01120797 UN NA 
30055237 UN NA 
03130659 UN NA 
00350168 UN NA 
00350169 UN NA 
03130655 UN NA 
00350167 UN NA 
03130656 UN NA 
00350162 UN NA 
00350163 UN NA 
00350160 UN NA 
03130652 UN NA 
00153078 UN NA 
00500986 UN NA 
01102909 UN NA 
01102908 UN NA 
01102906 UN NA 
01653020 UN NA 
