               PAIR_ID        IID1        H1        IID2        H2       HSR   N
   SampleAA6_SampleAC9   SampleAA6  0.849266   SampleAC9  0.884137  0.960559  15
   SampleAA7_SampleAC2   SampleAA7  0.779914   SampleAC2  0.738986  0.947522  21
   SampleAA7_SampleAC3   SampleAA7  0.802662   SampleAC3  0.723635  0.901543  21
   SampleAA7_SampleAC4   SampleAA7  0.681716   SampleAC4  0.884579  0.770667  16
   SampleAA7_SampleAC5   SampleAA7  0.743176   SampleAC5  0.853983  0.870247  19
   SampleAA7_SampleAC6   SampleAA7  0.774934   SampleAC6  0.808700  0.958246  25
   SampleAA7_SampleAC7   SampleAA7  0.813350   SampleAC7  0.750453  0.922670  14
   SampleAA7_SampleAC8   SampleAA7  0.770465   SampleAC8  0.856562  0.899485  18
   SampleAA7_SampleAC9   SampleAA7  0.851499   SampleAC9  0.730936  0.858411  16
  SampleAA0_SampleAC10   SampleAA0  0.760677  SampleAC10  0.856228  0.888405  20
   SampleAA0_SampleAD0   SampleAA0  0.729554   SampleAD0  0.741209  0.984275  25
   SampleAA0_SampleAD1   SampleAA0  0.872339   SampleAD1  0.852942  0.977764  26
   SampleAA0_SampleAD2   SampleAA0  0.869097   SampleAD2  0.765320  0.880592  21
   SampleAA0_SampleAD3   SampleAA0  0.814869   SampleAD3  0.756286  0.928108  53
   SampleAA0_SampleAD4   SampleAA0  0.882835   SampleAD4  0.839197  0.950570  21
   SampleAA0_SampleAD5   SampleAA0  0.770964   SampleAD5  0.808484  0.953591  19
   SampleAA0_SampleAD6   SampleAA0  0.735550   SampleAD6  0.793867  0.926541  36
  SampleAA1_SampleAC10   SampleAA1  0.856573  SampleAC10  0.855866  0.999174  16
   SampleAA1_SampleAD0   SampleAA1  0.853091   SampleAD0  0.883387  0.965705  22
   SampleAA1_SampleAD1   SampleAA1  0.807417   SampleAD1  0.763906  0.946111  15
   SampleAA1_SampleAD2   SampleAA1  0.881880   SampleAD2  0.827758  0.938628  21
   SampleAA1_SampleAD3   SampleAA1  0.870596   SampleAD3  0.771834  0.886559  24
   SampleAA1_SampleAD4   SampleAA1  0.814675   SampleAD4  0.838419  0.971679  20
   SampleAA1_SampleAD5   SampleAA1  0.758302   SampleAD5  0.867174  0.874451  22
   SampleAA1_SampleAD6   SampleAA1  0.695498   SampleAD6  0.909989  0.764293  22
  SampleAA3_SampleAC10   SampleAA3  0.865829  SampleAC10  0.775311  0.895455  12
   SampleAA3_SampleAD0   SampleAA3  0.776451   SampleAD0  0.859863  0.902994  17
   SampleAA3_SampleAD1   SampleAA3  0.667534   SampleAD1  0.688284  0.969852  15
   SampleAA3_SampleAD2   SampleAA3  0.895504   SampleAD2  0.870701  0.972303  21
   SampleAA3_SampleAD3   SampleAA3  0.671188   SampleAD3  0.813415  0.825148  19
   SampleAA3_SampleAD4   SampleAA3  0.742843   SampleAD4  0.609815  0.820920  21
   SampleAA3_SampleAD5   SampleAA3  0.778003   SampleAD5  0.857553  0.907236  19
   SampleAA3_SampleAD6   SampleAA3  0.826492   SampleAD6  0.821976  0.994536  23
  SampleAA4_SampleAC10   SampleAA4  0.820719  SampleAC10  0.859423  0.954965  23
   SampleAA4_SampleAD0   SampleAA4  0.875674   SampleAD0  0.816186  0.932066  22
   SampleAA4_SampleAD1   SampleAA4  0.901764   SampleAD1  0.828506  0.918762  22
   SampleAA4_SampleAD2   SampleAA4  0.713913   SampleAD2  0.727330  0.981552  23
   SampleAA4_SampleAD3   SampleAA4  0.942745   SampleAD3  0.756625  0.802576  43
   SampleAA4_SampleAD4   SampleAA4  0.807073   SampleAD4  0.876153  0.921156  20
   SampleAA4_SampleAD5   SampleAA4  0.783500   SampleAD5  0.824094  0.950740  27
   SampleAA4_SampleAD6   SampleAA4  0.824279   SampleAD6  0.747386  0.906715  28
